,position,calculate_log_return,log_ret,cum_ret
2009-12-29,0,,0.0,0.0
2009-12-30,0,,0.0,0.0
2009-12-31,0,,0.0,0.0
2010-01-04,0,,0.0,0.0
2010-01-05,0,,0.0,0.0
2010-01-06,0,,0.0,0.0
2010-01-07,0,,0.0,0.0
2010-01-08,0,,0.0,0.0
2010-01-11,0,,0.0,0.0
2010-01-12,0,,0.0,0.0
2010-01-13,0,,0.0,0.0
2010-01-14,0,,0.0,0.0
2010-01-15,0,,0.0,0.0
2010-01-18,0,,0.0,0.0
2010-01-19,0,,0.0,0.0
2010-01-20,0,,0.0,0.0
2010-01-21,0,,0.0,0.0
2010-01-22,0,,0.0,0.0
2010-01-25,0,,0.0,0.0
2010-01-26,0,,0.0,0.0
2010-01-27,0,,0.0,0.0
2010-01-28,0,,0.0,0.0
2010-01-29,0,,0.0,0.0
2010-02-01,0,,0.0,0.0
2010-02-02,0,,0.0,0.0
2010-02-03,0,,0.0,0.0
2010-02-04,0,,0.0,0.0
2010-02-05,0,,0.0,0.0
2010-02-08,0,,0.0,0.0
2010-02-09,0,,0.0,0.0
2010-02-10,0,,0.0,0.0
2010-02-22,0,,0.0,0.0
2010-02-23,0,,0.0,0.0
2010-02-24,0,,0.0,0.0
2010-02-25,0,,0.0,0.0
2010-02-26,0,,0.0,0.0
2010-03-01,0,,0.0,0.0
2010-03-02,0,,0.0,0.0
2010-03-03,0,,0.0,0.0
2010-03-04,0,,0.0,0.0
2010-03-05,0,,0.0,0.0
2010-03-08,0,,0.0,0.0
2010-03-09,0,,0.0,0.0
2010-03-10,0,,0.0,0.0
2010-03-11,0,,0.0,0.0
2010-03-12,0,,0.0,0.0
2010-03-15,0,,0.0,0.0
2010-03-16,0,,0.0,0.0
2010-03-17,0,,0.0,0.0
2010-03-18,0,,0.0,0.0
2010-03-19,0,,0.0,0.0
2010-03-22,0,,0.0,0.0
2010-03-23,0,,0.0,0.0
2010-03-24,0,,0.0,0.0
2010-03-25,0,,0.0,0.0
2010-03-26,0,,0.0,0.0
2010-03-29,0,,0.0,0.0
2010-03-30,0,,0.0,0.0
2010-03-31,0,,0.0,0.0
2010-04-01,0,,0.0,0.0
2010-04-02,0,,0.0,0.0
2010-04-06,0,,0.0,0.0
2010-04-07,0,,0.0,0.0
2010-04-08,0,,0.0,0.0
2010-04-09,0,,0.0,0.0
2010-04-12,0,,0.0,0.0
2010-04-13,0,,0.0,0.0
2010-04-14,0,,0.0,0.0
2010-04-15,0,,0.0,0.0
2010-04-16,0,,0.0,0.0
2010-04-19,0,,0.0,0.0
2010-04-20,0,,0.0,0.0
2010-04-21,0,,0.0,0.0
2010-04-22,0,,0.0,0.0
2010-04-23,0,,0.0,0.0
2010-04-26,0,,0.0,0.0
2010-04-27,0,,0.0,0.0
2010-04-28,0,,0.0,0.0
2010-04-29,0,,0.0,0.0
2010-04-30,0,,0.0,0.0
2010-05-03,0,,0.0,0.0
2010-05-04,0,,0.0,0.0
2010-05-05,0,,0.0,0.0
2010-05-06,0,,0.0,0.0
2010-05-07,0,,0.0,0.0
2010-05-10,0,,0.0,0.0
2010-05-11,0,,0.0,0.0
2010-05-12,0,,0.0,0.0
2010-05-13,0,,0.0,0.0
2010-05-14,0,,0.0,0.0
2010-05-17,0,,0.0,0.0
2010-05-18,0,,0.0,0.0
2010-05-19,0,,0.0,0.0
2010-05-20,0,,0.0,0.0
2010-05-21,0,,0.0,0.0
2010-05-24,0,,0.0,0.0
2010-05-25,0,,0.0,0.0
2010-05-26,0,,0.0,0.0
2010-05-27,0,,0.0,0.0
2010-05-28,0,,0.0,0.0
2010-05-31,0,,0.0,0.0
2010-06-01,0,,0.0,0.0
2010-06-02,0,,0.0,0.0
2010-06-03,0,,0.0,0.0
2010-06-04,0,,0.0,0.0
2010-06-07,0,,0.0,0.0
2010-06-08,0,,0.0,0.0
2010-06-09,0,,0.0,0.0
2010-06-10,0,,0.0,0.0
2010-06-11,0,,0.0,0.0
2010-06-14,0,,0.0,0.0
2010-06-15,0,,0.0,0.0
2010-06-17,0,,0.0,0.0
2010-06-18,0,,0.0,0.0
2010-06-21,0,,0.0,0.0
2010-06-22,0,,0.0,0.0
2010-06-23,0,,0.0,0.0
2010-06-24,0,,0.0,0.0
2010-06-25,0,,0.0,0.0
2010-06-28,0,,0.0,0.0
2010-06-29,0,,0.0,0.0
2010-06-30,0,,0.0,0.0
2010-07-01,0,,0.0,0.0
2010-07-02,0,,0.0,0.0
2010-07-05,0,,0.0,0.0
2010-07-06,0,,0.0,0.0
2010-07-07,0,,0.0,0.0
2010-07-08,0,,0.0,0.0
2010-07-09,0,,0.0,0.0
2010-07-12,0,,0.0,0.0
2010-07-13,0,,0.0,0.0
2010-07-14,0,,0.0,0.0
2010-07-15,0,,0.0,0.0
2010-07-16,0,,0.0,0.0
2010-07-19,0,,0.0,0.0
2010-07-20,0,,0.0,0.0
2010-07-21,0,,0.0,0.0
2010-07-22,0,,0.0,0.0
2010-07-23,0,,0.0,0.0
2010-07-26,0,,0.0,0.0
2010-07-27,0,,0.0,0.0
2010-07-28,0,,0.0,0.0
2010-07-29,0,,0.0,0.0
2010-07-30,0,,0.0,0.0
2010-08-02,0,,0.0,0.0
2010-08-03,0,,0.0,0.0
2010-08-04,0,,0.0,0.0
2010-08-05,0,,0.0,0.0
2010-08-06,0,,0.0,0.0
2010-08-09,0,,0.0,0.0
2010-08-10,0,,0.0,0.0
2010-08-11,0,,0.0,0.0
2010-08-12,0,,0.0,0.0
2010-08-13,0,,0.0,0.0
2010-08-16,0,,0.0,0.0
2010-08-17,0,,0.0,0.0
2010-08-18,0,,0.0,0.0
2010-08-19,0,,0.0,0.0
2010-08-20,0,,0.0,0.0
2010-08-23,0,,0.0,0.0
2010-08-24,0,,0.0,0.0
2010-08-25,0,,0.0,0.0
2010-08-26,0,,0.0,0.0
2010-08-27,0,,0.0,0.0
2010-08-30,0,,0.0,0.0
2010-08-31,0,,0.0,0.0
2010-09-01,0,,0.0,0.0
2010-09-02,0,,0.0,0.0
2010-09-03,0,,0.0,0.0
2010-09-06,0,,0.0,0.0
2010-09-07,0,,0.0,0.0
2010-09-08,0,,0.0,0.0
2010-09-09,0,,0.0,0.0
2010-09-10,0,,0.0,0.0
2010-09-13,0,,0.0,0.0
2010-09-14,0,,0.0,0.0
2010-09-15,0,,0.0,0.0
2010-09-16,0,,0.0,0.0
2010-09-17,0,,0.0,0.0
2010-09-20,0,,0.0,0.0
2010-09-21,0,,0.0,0.0
2010-09-23,0,,0.0,0.0
2010-09-24,0,,0.0,0.0
2010-09-27,0,,0.0,0.0
2010-09-28,0,,0.0,0.0
2010-09-29,0,,0.0,0.0
2010-09-30,0,,0.0,0.0
2010-10-01,0,,0.0,0.0
2010-10-04,0,,0.0,0.0
2010-10-05,0,,0.0,0.0
2010-10-06,0,,0.0,0.0
2010-10-07,0,,0.0,0.0
2010-10-08,0,,0.0,0.0
2010-10-11,0,,0.0,0.0
2010-10-12,0,,0.0,0.0
2010-10-13,0,,0.0,0.0
2010-10-14,0,,0.0,0.0
2010-10-15,0,,0.0,0.0
2010-10-18,0,,0.0,0.0
2010-10-19,0,,0.0,0.0
2010-10-20,0,,0.0,0.0
2010-10-21,0,,0.0,0.0
2010-10-22,0,,0.0,0.0
2010-10-25,0,,0.0,0.0
2010-10-26,0,,0.0,0.0
2010-10-27,0,,0.0,0.0
2010-10-28,0,,0.0,0.0
2010-10-29,0,,0.0,0.0
2010-11-01,0,,0.0,0.0
2010-11-02,0,,0.0,0.0
2010-11-03,0,,0.0,0.0
2010-11-04,0,,0.0,0.0
2010-11-05,0,,0.0,0.0
2010-11-08,0,,0.0,0.0
2010-11-09,0,,0.0,0.0
2010-11-10,0,,0.0,0.0
2010-11-11,0,,0.0,0.0
2010-11-12,0,,0.0,0.0
2010-11-15,0,,0.0,0.0
2010-11-16,0,,0.0,0.0
2010-11-17,0,,0.0,0.0
2010-11-18,0,,0.0,0.0
2010-11-19,0,,0.0,0.0
2010-11-22,0,,0.0,0.0
2010-11-23,0,,0.0,0.0
2010-11-24,0,,0.0,0.0
2010-11-25,0,,0.0,0.0
2010-11-26,0,,0.0,0.0
2010-11-29,0,,0.0,0.0
2010-11-30,0,,0.0,0.0
2010-12-01,0,,0.0,0.0
2010-12-02,0,,0.0,0.0
2010-12-03,0,,0.0,0.0
2010-12-06,0,,0.0,0.0
2010-12-07,0,,0.0,0.0
2010-12-08,0,,0.0,0.0
2010-12-09,0,,0.0,0.0
2010-12-10,0,,0.0,0.0
2010-12-13,0,,0.0,0.0
2010-12-14,0,,0.0,0.0
2010-12-15,0,,0.0,0.0
2010-12-16,0,,0.0,0.0
2010-12-17,0,,0.0,0.0
2010-12-20,0,,0.0,0.0
2010-12-21,0,,0.0,0.0
2010-12-22,0,,0.0,0.0
2010-12-23,0,,0.0,0.0
2010-12-24,0,,0.0,0.0
2010-12-27,0,,0.0,0.0
2010-12-28,0,,0.0,0.0
2010-12-29,0,,0.0,0.0
2010-12-30,0,,0.0,0.0
2010-12-31,0,,0.0,0.0
2011-01-03,0,,0.0,0.0
2011-01-04,0,,0.0,0.0
2011-01-05,0,,0.0,0.0
2011-01-06,0,,0.0,0.0
2011-01-07,0,,0.0,0.0
2011-01-10,0,,0.0,0.0
2011-01-11,0,,0.0,0.0
2011-01-12,0,,0.0,0.0
2011-01-13,0,,0.0,0.0
2011-01-14,0,,0.0,0.0
2011-01-17,0,,0.0,0.0
2011-01-18,0,,0.0,0.0
2011-01-19,0,,0.0,0.0
2011-01-20,0,,0.0,0.0
2011-01-21,0,,0.0,0.0
2011-01-24,0,,0.0,0.0
2011-01-25,0,,0.0,0.0
2011-01-26,0,,0.0,0.0
2011-01-27,0,,0.0,0.0
2011-01-28,0,,0.0,0.0
2011-02-08,0,,0.0,0.0
2011-02-09,0,,0.0,0.0
2011-02-10,0,,0.0,0.0
2011-02-11,0,,0.0,0.0
2011-02-14,0,,0.0,0.0
2011-02-15,0,,0.0,0.0
2011-02-16,0,,0.0,0.0
2011-02-17,0,,0.0,0.0
2011-02-18,0,,0.0,0.0
2011-02-21,0,,0.0,0.0
2011-02-22,0,,0.0,0.0
2011-02-23,0,,0.0,0.0
2011-02-24,0,,0.0,0.0
2011-02-25,0,,0.0,0.0
2011-03-01,0,,0.0,0.0
2011-03-02,0,,0.0,0.0
2011-03-03,0,,0.0,0.0
2011-03-04,0,,0.0,0.0
2011-03-07,0,,0.0,0.0
2011-03-08,0,,0.0,0.0
2011-03-09,0,,0.0,0.0
2011-03-10,0,,0.0,0.0
2011-03-11,0,,0.0,0.0
2011-03-14,0,,0.0,0.0
2011-03-15,0,,0.0,0.0
2011-03-16,0,,0.0,0.0
2011-03-17,0,,0.0,0.0
2011-03-18,0,,0.0,0.0
2011-03-21,0,,0.0,0.0
2011-03-22,0,,0.0,0.0
2011-03-23,0,,0.0,0.0
2011-03-24,0,,0.0,0.0
2011-03-25,0,,0.0,0.0
2011-03-28,0,,0.0,0.0
2011-03-29,0,,0.0,0.0
2011-03-30,0,,0.0,0.0
2011-03-31,0,,0.0,0.0
2011-04-01,0,,0.0,0.0
2011-04-06,0,,0.0,0.0
2011-04-07,0,,0.0,0.0
2011-04-08,0,,0.0,0.0
2011-04-11,0,,0.0,0.0
2011-04-12,0,,0.0,0.0
2011-04-13,0,,0.0,0.0
2011-04-14,0,,0.0,0.0
2011-04-15,0,,0.0,0.0
2011-04-18,0,,0.0,0.0
2011-04-19,0,,0.0,0.0
2011-04-20,0,,0.0,0.0
2011-04-21,0,,0.0,0.0
2011-04-22,0,,0.0,0.0
2011-04-25,0,,0.0,0.0
2011-04-26,0,,0.0,0.0
2011-04-27,0,,0.0,0.0
2011-04-28,0,,0.0,0.0
2011-04-29,0,,0.0,0.0
2011-05-03,0,,0.0,0.0
2011-05-04,0,,0.0,0.0
2011-05-05,0,,0.0,0.0
2011-05-06,0,,0.0,0.0
2011-05-09,0,,0.0,0.0
2011-05-10,0,,0.0,0.0
2011-05-11,0,,0.0,0.0
2011-05-12,0,,0.0,0.0
2011-05-13,0,,0.0,0.0
2011-05-16,0,,0.0,0.0
2011-05-17,0,,0.0,0.0
2011-05-18,0,,0.0,0.0
2011-05-19,0,,0.0,0.0
2011-05-20,0,,0.0,0.0
2011-05-23,0,,0.0,0.0
2011-05-24,0,,0.0,0.0
2011-05-25,0,,0.0,0.0
2011-05-26,0,,0.0,0.0
2011-05-27,0,,0.0,0.0
2011-05-30,0,,0.0,0.0
2011-05-31,0,,0.0,0.0
2011-06-01,0,,0.0,0.0
2011-06-02,0,,0.0,0.0
2011-06-03,0,,0.0,0.0
2011-06-07,0,,0.0,0.0
2011-06-08,0,,0.0,0.0
2011-06-09,0,,0.0,0.0
2011-06-10,0,,0.0,0.0
2011-06-13,0,,0.0,0.0
2011-06-14,0,,0.0,0.0
2011-06-15,0,,0.0,0.0
2011-06-16,0,,0.0,0.0
2011-06-17,0,,0.0,0.0
2011-06-20,0,,0.0,0.0
2011-06-21,0,,0.0,0.0
2011-06-22,0,,0.0,0.0
2011-06-23,0,,0.0,0.0
2011-06-24,0,,0.0,0.0
2011-06-27,1,,0.007602353194397163,0.007602353194397171
2011-06-28,1,,-0.00013087998315548197,0.0074704782153836025
2011-06-29,1,,0.0013558995123376136,0.008836506945490541
2011-06-30,1,,-0.008824458745915342,-6.592919142323073e-05
2011-07-01,1,,0.005071090391547347,0.005004826867235135
2011-07-04,1,,0.0016411745214023443,0.006654215182976042
2011-07-05,1,,-0.004431605016295498,0.002193121313296187
2011-07-06,1,,0.0015619969072064783,0.0037585438692111506
2011-07-07,1,,-0.011137464784948078,-0.0074207815657229
2011-07-08,1,,0.0019030909336522055,-0.005531813054189039
2011-07-11,1,,0.007018083155392179,0.0014474473771886043
2011-07-12,1,,-0.0067912103742036435,-0.005353592916659045
2011-07-13,1,,-0.0042161503126293,-0.009547171676839161
2011-07-14,1,,-0.004153163814344384,-0.01366068452324598
2011-07-15,1,,-9.529844716160551e-05,-0.013754681128385404
2011-07-18,1,,0.003968379581458213,-0.009840885342666472
2011-07-19,1,,0.0025131361528247,-0.0073524806745721705
2011-07-20,1,,-0.0011446955899681716,-0.008488759912336885
2011-07-21,1,,-0.00506438163839392,-0.013510151230898049
2011-07-22,1,,0.0008558950577025857,-0.01266581944486267
2011-07-25,1,,0.005053255914105635,-0.0076765671577737615
2011-07-26,1,,-0.00733915171574786,-0.014959379382494586
2011-07-27,1,,-0.0029674120920963097,-0.017882400831320977
2011-07-28,1,,0.002520926826905271,-0.01540655422840087
2011-07-29,1,,0.0005812013627203151,-0.014834307175992989
2011-08-01,1,,-0.008284540433063169,-0.02299595219146011
2011-08-02,1,,0.00986487259257865,-0.01335793173739519
2011-08-03,1,,-0.0013548755492089426,-0.014694708951505153
2011-08-04,1,,0.004967994744207843,-0.009799717444136102
2011-08-05,1,,-0.011266282186991595,-0.020955593249049276
2011-08-08,1,,0.0008851409597238597,-0.020089000943245394
2011-08-09,1,,-0.004928182473166847,-0.024918181154060304
2011-08-10,1,,0.004676847459532922,-0.020357872226754004
